name,city,median_income,pct_bachelors_plus,pct_age_20_40,rent_index,rent_yoy_growth,independent_coffee_count_2mi,chain_coffee_count_2mi,transit_score,university_score,coworking_score,latte_price_12oz,latte_price_pred_12oz,hotspot_cluster,score_total,score_foot_traffic,score_growth_velocity,score_demographic_fit,score_competition_inv,score_cost_inv
Neighborhood 069,San Francisco,135433.5108783805,83.11697961899358,65.23548742307437,132.54538260726815,0.07623615931543286,7,1,77.5360473395409,64.80632330187602,72.37447397964256,7.85,7.93959907196757,0,0.765096,0.86803,0.711279,0.909934,0.647059,0.378895
Neighborhood 059,San Jose,112501.70536991722,97.40414136669368,69.72339220548119,125.26400143013004,0.09860277163214215,5,3,56.84588445609269,98.0693917909691,65.16515499659776,7.89,7.598657287161921,7,0.756875,0.769114,0.842552,0.860065,0.647059,0.45555
Neighborhood 113,Oakland,111509.2222326338,90.34968159596085,77.00762205878812,118.99997916501786,0.09319221929679775,2,5,66.60050975259036,81.03852299331444,63.45988577821956,7.63,7.511014471048692,7,0.756428,0.757219,0.810797,0.836285,0.705882,0.521495
Neighborhood 039,Santa Cruz,117705.93477239987,90.2329854026605,56.78649391799112,141.20750145143188,0.06784336317274399,4,1,65.2432452337183,88.55610099960353,72.01898659918774,7.89,7.649420014619405,7,0.742638,0.877397,0.66202,0.778862,0.823529,0.287704
Neighborhood 100,Berkeley,92193.20622267091,93.0237333813753,63.15785571644036,129.44933140410504,0.08149353439714652,9,3,52.10354266819351,82.6610924827842,100.0,6.78,7.0921266849238895,0,0.68159,0.908964,0.742135,0.630241,0.411765,0.411489
Neighborhood 104,San Francisco,121601.37514513775,85.66711666616425,62.438888122657,156.2904101606436,0.11427344548004208,8,8,72.18720692475989,75.43347312153914,67.71732767633004,7.99,7.911955837459178,6,0.677033,0.832088,0.934527,0.804555,0.176471,0.128918
Neighborhood 011,Oakland,91766.11015681048,88.9960381845557,62.04336252126633,123.48612714523881,0.07306287983005398,2,1,59.7760733741718,66.2876934058125,73.97802144947761,6.42,6.956488573536329,4,0.667975,0.644343,0.692654,0.590153,0.941176,0.474267
Neighborhood 001,San Francisco,102628.3643802946,96.71450519132333,50.219911598689364,150.9813796401707,0.06368242060990398,6,3,75.16592892864517,62.76366324927018,72.91679495694876,7.34,7.441742163519728,0,0.64983,0.823718,0.637598,0.673914,0.588235,0.184809
Neighborhood 026,San Jose,110924.5926371157,75.15105814144032,64.03468862513495,111.26887634119434,0.04939417258927866,7,5,91.82087963277282,55.43230492105482,56.700834943315925,6.86,7.082388197251868,1,0.649225,0.848688,0.553738,0.647272,0.411765,0.602884
Neighborhood 084,Sacramento,89723.87007152963,66.98148431243993,45.91121304028287,99.51916052333232,0.0311840935349635,4,1,87.47535432879893,72.4923857095636,58.616455894936166,6.32,6.199512177156855,4,0.647465,0.93904,0.446859,0.320773,0.823529,0.72658
Neighborhood 056,San Francisco,110967.82818928067,100.0,61.31087798384484,152.07324667787194,0.06497262261358289,11,2,69.37433458325083,72.62187964575223,69.87322077238466,8.13,7.797036398044655,0,0.642423,0.790677,0.645171,0.82365,0.352941,0.173315
